,Network,State,Facility Name,Star Rating,Profit Or Non-Profit,Chain Owned,Chain Organization,Late Shift,Number Of Dialysis Stations,Offers In-Center Hemodialysis,Offers Peritoneal Dialysis,Offers Home Hemodialysis Training,Percentage Of Medicare Patients With Hgb < 10 g/dL,Percentage Of Medicare Patients With Hgb > 12 g/dL,Percent Of Adult HD Patients With Kt/V >= 1.2,Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 mg/dL),Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 3.5 - 4.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 4.6 - 5.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 5.6 - 7.0 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 mg/dL,Mortality Rate (Facility),Readmission Rate (Facility),Hospitalization Rate (Facility),Standard Infection Ratio,Transfusion Rate (Facility),Fistula Rate (Facility),Percentage Of Adult Patients With Long Term Catheter In Use,Standardized First Kidney Transplant Waitlist Ratio,Percentage Of Prevalent Patients Waitlisted
10,1,ME,"BIO-MEDICAL APPLICATIONS OF MAINE, INC.",4,1.0,1,FRESENIUS MEDICAL CARE,1,10,1,0,0,18.0,0.0,99.0,0.0,6.0,23.0,25.0,28.0,19.0,6.7,40.9,204.6,1.07,16.7,62.9,16.0,0.82,6.1
11,11,MI,DAVITA RIVERBEND DIALYSIS,5,1.0,1,DAVITA,0,13,1,1,1,11.0,0.0,98.0,1.0,6.0,25.0,38.0,20.0,11.0,21.4,21.7,142.9,1.0,0.0,72.1,8.0,0.82,12.9
12,11,MI,DAVITA ROSEVILLE COMMONS DIALYSIS,4,1.0,1,DAVITA,0,24,1,1,0,18.0,0.0,91.0,2.0,8.0,17.0,31.0,28.0,17.0,21.75,25.9,211.6,0.0,16.7,61.5,6.0,0.82,24.7
13,12,MO,DAVITA HOUSE SPRINGS DIALYSIS,5,1.0,1,DAVITA,0,20,1,1,0,17.0,0.0,99.0,0.0,6.0,22.0,30.0,16.0,26.0,17.7,17.3,176.0,0.0,8.0,84.7,6.0,0.82,10.6
14,15,NV,DAVITA CENTENNIAL DIALYSIS CENTER,3,1.0,1,DAVITA,0,20,1,1,0,16.0,0.0,98.0,1.0,9.0,27.0,34.0,18.0,11.0,25.4,35.0,289.3,0.45,24.3,70.6,12.0,0.41,17.4
15,3,NJ,DAVITA RAHWAY DIALYSIS,3,1.0,1,DAVITA,0,18,1,1,0,13.0,0.0,97.0,4.0,11.0,29.0,31.0,18.0,11.0,13.3,27.6,188.9,0.61,10.0,67.3,16.0,0.82,26.4
16,2,NY,ST. BARNABAS HOSPITAL OPD DIALYSIS CENTER,3,0.0,0,INDEPENDENT,0,40,1,0,0,23.0,0.0,96.0,1.0,13.0,25.0,25.0,25.0,12.0,23.3,27.0,253.1,0.51,15.2,64.4,16.0,0.57,21.7
17,2,NY,BROOKLYN HOSPITAL CENTER II,5,0.0,0,INDEPENDENT,1,25,1,0,0,7.0,0.0,97.0,0.0,12.0,20.0,24.0,27.0,16.0,21.7,34.8,208.7,0.61,20.6,75.1,7.0,0.92,27.3
18,6,NC,FRESENIUS MEDICAL CARE MORRISVILLE,5,1.0,1,FRESENIUS MEDICAL CARE,0,9,1,0,0,0.0,0.0,99.0,0.0,7.0,29.0,30.0,22.0,12.0,35.4,24.6,114.9,0.53,7.6,58.1,10.0,0.82,23.0
19,9,OH,DAVITA AFFINITY PLACE DIALYSIS,3,1.0,1,DAVITA,0,17,1,0,0,27.0,0.0,99.0,2.0,9.0,22.0,35.0,21.0,13.0,20.6,22.8,215.9,0.92,4.1,36.5,23.0,0.56,10.7
20,9,OH,DAVITA MIRACLE MILE DIALYSIS,3,1.0,1,DAVITA,0,13,1,1,0,18.0,0.0,98.0,0.0,6.0,23.0,38.0,21.0,13.0,6.4,44.2,271.6,0.58,16.7,53.5,11.0,0.82,20.3
21,9,OH,FRESENIUS MEDICAL CARE NEW ALBANY LLC,3,1.0,1,FRESENIUS MEDICAL CARE,0,17,1,0,0,18.0,0.0,98.0,3.0,5.0,22.0,32.0,26.0,15.0,10.2,24.7,248.9,0.0,23.7,56.8,26.0,0.82,20.0
22,9,OH,US RENAL CARE FINDLAY HOME,4,1.0,1,"US RENAL CARE, INC.",0,1,0,1,1,18.0,0.0,98.0,1.0,7.0,24.0,31.0,22.0,14.0,21.75,27.0,185.0,0.51,16.7,63.3,12.0,0.82,16.1
23,13,OK,DAVITA DT4 DIALYSIS,2,1.0,1,DAVITA,0,4,1,0,0,18.0,0.0,100.0,2.0,12.0,22.0,35.0,22.0,10.0,21.75,38.9,185.0,0.51,16.7,32.5,48.0,0.82,16.1
24,16,OR,ROSE CITY DIALYSIS LLC,5,1.0,1,FRESENIUS MEDICAL CARE,0,17,1,1,0,14.0,0.0,99.0,0.0,10.0,29.0,26.0,25.0,10.0,22.3,13.7,171.4,0.31,34.5,64.2,7.0,0.82,19.5
25,4,PA,DAVITA FRACKVILLE DIALYSIS,5,1.0,1,DAVITA,0,12,1,1,0,13.0,0.0,99.0,0.0,7.0,29.0,30.0,22.0,12.0,17.2,31.5,170.5,0.0,42.9,74.4,13.0,0.82,17.4
26,8,TN,SATELLITE HEALTHCARE SOUTH GERMANTOWN LLC,3,1.0,1,SATELLITE DIALYSIS,0,25,1,0,0,18.0,0.0,96.0,2.0,7.0,22.0,26.0,25.0,20.0,32.4,40.9,245.3,0.83,4.1,66.6,22.0,0.19,10.9
27,15,UT,BONNEVILLE DIALYSIS CENTER,4,0.0,1,UNIVERSITY OF UTAH DIALYSIS PROGRAM,1,33,1,1,1,23.0,0.0,98.0,1.0,9.0,24.0,24.0,25.0,19.0,31.5,22.7,147.8,0.66,7.5,81.6,11.0,0.43,23.0
28,15,UT,DAVITA MT. NEBO DIALYSIS,5,1.0,1,DAVITA,0,12,1,0,0,18.0,0.0,100.0,0.0,7.0,25.0,36.0,21.0,11.0,10.7,16.9,98.1,0.38,0.0,71.5,14.0,0.82,11.1
29,5,VA,DAVITA NANSEMOND DIALYSIS,4,1.0,1,DAVITA,0,13,1,1,1,22.0,0.0,99.0,2.0,6.0,25.0,39.0,19.0,11.0,21.8,32.1,140.3,0.86,16.8,70.6,18.0,1.87,20.1
30,5,VA,DAVITA GLENVAR DIALYSIS,5,1.0,1,DAVITA,0,13,1,1,1,38.0,0.0,94.0,0.0,6.0,24.0,29.0,17.0,23.0,28.0,19.9,182.9,1.39,38.5,89.8,7.0,0.82,15.1
31,5,VA,DAVITA DALEVILLE DIALYSIS,5,1.0,1,DAVITA,0,17,1,1,0,16.0,0.0,97.0,1.0,6.0,37.0,28.0,19.0,10.0,11.7,13.2,83.1,0.0,16.7,84.3,7.0,0.82,20.1
32,5,WV,WEIRTON DIALYSIS CENTER,3,1.0,1,AMERICAN RENAL ASSOCIATES,0,17,1,0,0,18.0,0.0,97.0,4.0,5.0,36.0,48.0,9.0,3.0,14.2,9.6,148.7,0.0,16.7,44.5,36.0,0.82,15.3
33,18,CA,DAVITA WARNER CENTER DIALYSIS,4,1.0,1,DAVITA,0,24,1,1,0,24.0,0.0,93.0,4.0,4.0,14.0,30.0,29.0,23.0,19.7,24.4,183.0,1.0,0.0,72.5,15.0,0.82,30.1
34,17,CA,"USRC NAPA, LLC",5,1.0,1,"US RENAL CARE, INC.",0,13,1,1,0,18.0,0.0,100.0,0.0,8.0,39.0,35.0,14.0,4.0,21.75,0.0,185.0,0.51,16.7,71.2,8.0,0.82,30.1
35,14,TX,"DAVITA ELMORE DIALYSIS, LLC",4,1.0,1,DAVITA,0,17,1,0,0,18.0,0.0,98.0,1.0,7.0,24.0,31.0,22.0,14.0,21.75,27.0,185.0,0.51,16.7,63.3,12.0,0.82,16.1
36,6,GA,"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC",5,1.0,1,FRESENIUS MEDICAL CARE,0,12,1,0,0,25.0,0.0,97.0,1.0,5.0,19.0,31.0,26.0,20.0,17.8,32.4,165.1,0.48,21.9,74.6,10.0,0.89,14.7
37,6,GA,BALDWIN DIALYSIS CENTER,5,1.0,1,AMERICAN RENAL ASSOCIATES,0,20,1,0,0,5.0,0.0,99.0,3.0,14.0,31.0,27.0,16.0,13.0,21.4,22.6,146.0,0.4,16.7,64.2,6.0,0.82,11.4
38,12,IA,DAVITA HARLAN DIALYSIS,5,1.0,1,DAVITA,0,8,1,0,0,23.0,0.0,100.0,1.0,4.0,18.0,32.0,21.0,25.0,24.0,24.4,181.4,0.54,16.8,69.3,12.0,0.82,4.1
39,17,CA,RAI BANCROFT,4,1.0,1,FRESENIUS MEDICAL CARE,0,26,1,0,0,14.0,0.0,99.0,1.0,8.0,26.0,34.0,22.0,9.0,22.4,26.3,206.7,0.12,38.6,63.0,12.0,0.54,28.7
40,4,DE,"FRESENIUS MEDICAL CARE NORTHERN DELAWARE, LLC.",5,0.0,1,FRESENIUS MEDICAL CARE,0,9,1,0,0,26.0,0.0,98.0,0.0,13.0,30.0,25.0,22.0,10.0,20.3,40.4,123.7,0.39,4.7,75.3,5.0,0.82,36.3
41,8,AL,DAVITA SYLACAUGA DIALYSIS,3,1.0,1,DAVITA,0,18,1,1,1,19.0,0.0,100.0,0.0,5.0,19.0,28.0,27.0,21.0,31.9,35.6,187.9,1.18,27.7,51.1,9.0,0.82,17.5
42,6,SC,DAVITA GREER KIDNEY CENTER,5,1.0,1,DAVITA,0,28,1,0,0,9.0,0.0,100.0,0.0,7.0,22.0,42.0,20.0,8.0,28.2,30.9,89.2,0.0,25.4,57.5,3.0,0.73,8.5
43,12,IA,RCG MERCY DES MOINES LLC,3,1.0,1,FRESENIUS MEDICAL CARE,0,13,1,1,1,18.0,0.0,98.0,7.0,15.0,6.0,35.0,23.0,21.0,21.75,48.0,185.0,0.51,16.7,40.6,0.0,0.82,24.3
44,11,MI,NORTHWEST DETROIT DIALYSIS CENTER LLC,3,1.0,1,GREENFIELD HEALTH SYSTEMS,0,30,1,1,1,32.0,0.0,91.0,1.0,7.0,25.0,39.0,17.0,11.0,19.7,31.8,246.5,0.08,25.2,57.8,12.0,0.6,13.0
45,6,SC,"US RENAL CARE,INC",4,1.0,1,"US RENAL CARE, INC.",0,15,1,0,0,15.0,0.0,97.0,0.0,16.0,30.0,34.0,13.0,7.0,24.0,31.3,204.8,1.26,16.3,61.4,8.0,0.82,4.3
46,6,GA,FRESENIUS MEDICAL CARE HALL COUNTY,3,1.0,1,FRESENIUS MEDICAL CARE,0,15,1,1,1,21.0,0.0,98.0,1.0,8.0,21.0,27.0,28.0,15.0,24.8,32.6,222.4,0.35,6.6,61.3,13.0,0.84,18.8
47,10,IL,DAVITA LAKE COUNTY DIALYSIS SERVICES,3,1.0,1,DAVITA,1,18,1,1,0,24.0,0.0,98.0,3.0,7.0,27.0,32.0,12.0,23.0,18.1,39.2,173.5,0.79,3.3,57.4,22.0,0.82,23.0
48,6,SC,"BIO-MEDICAL APPLICATIONS OF SOUTH CAROLINA, INC.",2,1.0,1,FRESENIUS MEDICAL CARE,0,1,0,1,1,27.0,0.0,98.0,11.0,10.0,23.0,22.0,27.0,18.0,21.75,35.3,214.3,0.51,13.2,33.0,8.0,0.82,22.4
49,7,FL,DIALYSIS CLINIC INC OF SOUTHPOINT,4,0.0,1,"DIALYSIS CLINIC, INC.",0,24,1,1,0,9.0,0.0,99.0,1.0,7.0,28.0,39.0,15.0,12.0,15.8,24.9,217.1,1.03,0.0,55.6,15.0,0.82,13.0
50,1,MA,PIONEER VALLEY DIALYSIS CENTER,5,1.0,1,FRESENIUS MEDICAL CARE,1,29,1,1,1,13.0,0.0,96.0,0.0,6.0,21.0,22.0,28.0,23.0,18.4,29.4,160.4,1.25,10.1,64.3,9.0,2.77,36.8
51,5,MD,DAVITA KIDNEY CARE OF LAUREL,5,1.0,1,DAVITA,1,18,1,1,0,8.0,0.0,99.0,1.0,9.0,20.0,32.0,21.0,18.0,19.2,27.3,112.4,0.18,7.4,63.3,11.0,1.15,21.7
52,6,NC,CAROLINAS MEDICAL CENTER DIALYSIS UNIT,4,0.0,0,INDEPENDENT,0,9,1,1,1,18.0,0.0,98.0,1.0,7.0,24.0,31.0,22.0,14.0,21.75,27.0,109.9,0.51,16.7,63.3,12.0,0.82,47.1
53,17,HI,"USRC EWA BEACH, LLC",4,1.0,1,"US RENAL CARE, INC.",0,25,1,0,0,18.0,0.0,98.0,1.0,7.0,24.0,31.0,22.0,14.0,21.75,27.0,185.0,0.51,16.7,63.3,12.0,0.82,16.1
54,6,GA,RENAL CARE PARTNERS OF ROSWELL,2,1.0,1,"US RENAL CARE, INC.",0,17,1,1,1,17.0,0.0,93.0,5.0,10.0,27.0,30.0,21.0,11.0,21.6,40.9,181.9,0.29,14.6,63.7,14.0,1.45,29.9
55,6,NC,FRESENIUS MEDICAL CARE GASTONIA,3,1.0,1,FRESENIUS MEDICAL CARE,1,39,1,1,1,30.0,0.0,95.0,1.0,8.0,23.0,33.0,22.0,13.0,22.2,27.6,170.1,0.58,5.9,56.5,14.0,0.8,13.4
56,13,LA,DCI - WESTBANK-GRETNA,3,0.0,1,"DIALYSIS CLINIC, INC.",0,22,1,1,0,12.0,0.0,92.0,2.0,6.0,20.0,39.0,20.0,14.0,24.3,24.3,186.4,0.0,22.4,62.5,10.0,0.82,17.5
57,9,OH,FMC -  VAN WERT DIALYSIS,5,1.0,1,FRESENIUS MEDICAL CARE,0,12,1,0,0,20.0,0.0,99.0,0.0,12.0,31.0,25.0,20.0,13.0,18.5,28.9,146.1,2.74,15.1,74.7,6.0,0.82,10.4
58,9,OH,UNIVERSITY OF TOLEDO MEDICAL CENTER,4,1.0,0,INDEPENDENT,0,6,1,0,0,18.0,0.0,98.0,1.0,7.0,24.0,31.0,22.0,14.0,21.75,27.0,185.0,0.51,16.7,63.3,12.0,0.82,3.3
59,2,NY,DAVITA SHEEPHEAD BAY RENAL CARE CENTER,5,1.0,1,DAVITA,0,16,1,0,0,11.0,0.0,100.0,0.0,7.0,19.0,30.0,34.0,10.0,18.9,23.5,161.1,0.16,13.9,85.2,6.0,1.37,33.1
60,10,IL,MIDWEST KIDNEY CENTER,4,1.0,0,INDEPENDENT,0,1,0,1,0,18.0,0.0,98.0,1.0,15.0,31.0,33.0,14.0,6.0,21.75,27.0,185.0,0.51,16.7,63.3,12.0,0.82,3.5
61,6,SC,DAVITA NORTH CHARLESTON DIALYSIS,5,1.0,1,DAVITA,0,17,1,1,1,21.0,0.0,98.0,1.0,8.0,19.0,31.0,23.0,18.0,20.9,12.3,114.8,1.21,7.6,59.1,13.0,0.99,14.4
62,6,GA,FRESENIUS MEDICAL CARE CLARKE COUNTY,4,1.0,1,FRESENIUS MEDICAL CARE,0,26,1,1,1,22.0,0.0,98.0,0.0,13.0,23.0,24.0,27.0,13.0,29.3,37.5,207.2,1.33,3.6,65.9,7.0,1.04,14.8
63,10,IL,DAVITA CENTRALIA DIALYSIS,3,1.0,1,DAVITA,0,14,1,1,1,10.0,0.0,96.0,0.0,8.0,28.0,38.0,19.0,7.0,20.6,30.9,193.6,0.61,23.7,60.6,21.0,0.0,9.7
64,9,IN,DAVITA SOUTH BEND WEST DIALYSIS,4,1.0,1,DAVITA,0,12,1,0,0,6.0,0.0,99.0,0.0,10.0,30.0,37.0,13.0,10.0,18.1,30.3,200.5,1.52,13.0,58.8,9.0,0.68,5.7
65,6,SC,"SPARTANBURG DIALYSIS, LLC",3,1.0,1,AMERICAN RENAL ASSOCIATES,0,24,1,1,1,46.0,0.0,98.0,0.0,4.0,22.0,30.0,25.0,20.0,24.1,27.2,179.3,0.16,34.4,59.9,11.0,0.75,12.6
66,2,NY,UNIV DIALYSIS CTR @ AUBURN,5,0.0,1,"DIALYSIS CLINIC, INC.",0,13,1,0,0,19.0,3.0,97.0,0.0,12.0,21.0,28.0,26.0,13.0,23.2,17.9,146.8,0.28,0.0,67.3,16.0,0.82,24.4
67,6,GA,DAVITA LAKE HEARN DIALYSIS,3,1.0,1,DAVITA,0,20,1,1,0,16.0,3.0,98.0,5.0,8.0,21.0,33.0,23.0,15.0,23.9,24.1,154.6,0.5,19.7,68.2,13.0,0.26,23.9
68,6,SC,DAVITA GREENWOOD DIALYSIS,5,1.0,1,DAVITA,0,41,1,1,0,19.0,1.0,99.0,0.0,10.0,22.0,28.0,22.0,18.0,26.4,19.6,146.1,1.54,15.2,62.5,6.0,0.42,21.4
69,18,CA,DAVITA SAN DIEGO SOUTH DIALYSIS,4,1.0,1,DAVITA,1,17,1,0,0,18.0,0.0,98.0,1.0,8.0,21.0,32.0,21.0,19.0,20.9,42.3,180.4,0.77,15.9,57.2,5.0,0.42,18.3
70,2,NY,UNIVERSITY OF ROCHESTER,4,0.0,0,INDEPENDENT,0,2,1,0,0,18.0,0.0,98.0,1.0,7.0,24.0,31.0,22.0,14.0,21.75,27.0,185.0,0.51,16.7,63.3,12.0,0.82,16.1
71,4,PA,DAVITA MT POCONO DIALYSIS,3,1.0,1,DAVITA,1,12,1,1,0,0.0,0.0,95.0,5.0,10.0,20.0,31.0,24.0,16.0,26.0,17.2,202.8,0.0,21.2,72.2,18.0,0.82,13.0
72,5,MD,BMA - BETHESDA,5,1.0,1,FRESENIUS MEDICAL CARE,0,18,1,0,0,18.0,0.0,99.0,2.0,12.0,25.0,24.0,26.0,13.0,15.9,22.8,143.0,0.65,15.3,68.5,12.0,3.9,34.9
73,2,NY,DAVITA CLINTON HILL DIALYSIS,3,1.0,1,DAVITA,0,28,1,1,0,23.0,0.0,97.0,1.0,10.0,23.0,28.0,17.0,21.0,23.3,37.8,279.4,0.51,45.4,76.8,10.0,1.28,21.2
74,7,FL,DAVITA TAMARAC ARTIFICIAL KIDNEY CENTER,2,1.0,1,DAVITA,0,12,1,0,0,14.0,0.0,98.0,3.0,4.0,21.0,34.0,21.0,20.0,27.1,45.6,313.5,0.34,29.8,57.4,19.0,0.82,27.7
75,6,GA,DAVITA POOLER DIALYSIS,4,1.0,1,DAVITA,0,12,1,1,1,10.0,0.0,99.0,1.0,10.0,23.0,31.0,19.0,17.0,29.5,33.2,218.8,0.68,0.0,61.2,7.0,2.4,30.9
76,13,AR,DAVITA HEMPSTEAD COUNTY DIALYSIS,4,1.0,1,DAVITA,0,20,1,0,0,14.0,0.0,99.0,1.0,7.0,24.0,36.0,19.0,14.0,19.1,21.5,96.4,0.2,13.8,43.2,17.0,0.82,2.3
77,4,PA,DAVITA RENAL CENTER OF PHILADELPHIA,5,1.0,1,DAVITA,0,24,1,0,0,52.0,0.0,99.0,0.0,11.0,25.0,34.0,16.0,13.0,16.8,28.3,245.4,0.85,0.0,56.8,6.0,0.95,17.1
78,5,MD,FRESENIUS KIDNEY CARE CAROLINE STREET,4,1.0,1,FRESENIUS MEDICAL CARE,0,21,1,1,0,30.0,0.0,98.0,2.0,11.0,29.0,34.0,17.0,9.0,17.3,25.0,175.4,0.82,22.7,65.1,17.0,1.94,22.8
79,6,GA,DAVITA FOREST PARK DIALYSIS CENTER,4,1.0,1,DAVITA,0,18,1,0,0,7.0,0.0,96.0,3.0,6.0,23.0,34.0,21.0,17.0,22.7,26.1,167.4,2.02,5.3,57.2,9.0,0.0,10.7
80,13,OK,DAVITA SAPULPA DIALYSIS,5,1.0,1,DAVITA,0,16,1,0,0,21.0,0.0,99.0,1.0,3.0,24.0,26.0,20.0,26.0,28.4,25.9,193.7,0.41,4.6,76.5,5.0,0.45,0.0
81,8,AL,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",4,1.0,1,FRESENIUS MEDICAL CARE,0,13,1,0,0,33.0,0.0,96.0,1.0,10.0,22.0,30.0,26.0,13.0,26.9,23.2,190.0,0.69,22.5,57.5,6.0,0.82,17.7
82,11,MI,GREENFIELD HS - LIVONIA,3,0.0,1,GREENFIELD HEALTH SYSTEMS,1,13,1,1,1,20.0,0.0,94.0,1.0,5.0,28.0,35.0,27.0,5.0,18.5,25.0,216.0,0.0,22.5,64.1,12.0,0.63,14.2
83,10,IL,FMC - WAUKEGAN HARBOR,5,1.0,1,FRESENIUS MEDICAL CARE,0,21,1,1,0,12.0,0.0,99.0,1.0,10.0,32.0,27.0,22.0,9.0,12.3,18.5,144.9,0.13,4.5,71.7,14.0,1.21,32.5
84,7,FL,ARA - NAPLES DIALYSIS CENTER LLC,4,1.0,1,AMERICAN RENAL ASSOCIATES,1,20,1,1,1,32.0,0.0,99.0,1.0,4.0,28.0,37.0,18.0,14.0,19.9,29.9,185.8,0.47,11.9,57.4,11.0,1.43,13.7
85,7,FL,"BMA OF FLORIDA, INCORPORATED",2,1.0,1,FRESENIUS MEDICAL CARE,1,17,1,1,0,20.0,0.0,96.0,4.0,5.0,19.0,26.0,26.0,24.0,21.3,42.3,196.3,0.46,8.4,50.9,24.0,0.82,18.3
86,9,KY,DAVITA CRESTVIEW HILLS DIALYSIS,5,1.0,1,DAVITA,0,20,1,0,0,9.0,0.0,100.0,1.0,8.0,25.0,33.0,17.0,17.0,20.0,19.9,202.1,1.22,13.2,65.9,10.0,0.82,10.8
87,9,KY,DAVITA SOUTH HILL DIALYSIS,3,1.0,1,DAVITA,0,12,1,0,0,26.0,0.0,98.0,0.0,6.0,22.0,30.0,24.0,18.0,20.3,25.5,224.0,0.65,15.3,50.5,16.0,0.82,0.4
88,9,OH,DAVITA COLUMBUS DOWNTOWN DIALYSIS,5,1.0,1,DAVITA,0,24,1,0,0,24.0,0.0,99.0,1.0,6.0,19.0,28.0,22.0,26.0,30.8,19.4,217.1,0.38,5.3,69.7,5.0,0.82,10.7
89,2,NY,FRESENIUS KIDNEY CARE - HORNELL,3,0.0,1,FRESENIUS MEDICAL CARE,1,9,1,1,0,33.0,0.0,94.0,1.0,8.0,27.0,28.0,24.0,14.0,14.9,30.8,122.4,0.5,25.8,58.4,23.0,0.82,9.0
90,9,OH,CINCINNATI CHILDRENS HOSPITAL MED CTR,4,0.0,0,INDEPENDENT,0,7,1,1,0,18.0,0.0,98.0,1.0,7.0,24.0,31.0,22.0,14.0,21.75,27.0,185.0,0.51,16.7,63.3,12.0,0.98,26.7
91,12,MO,DAVITA HOSPITAL HILL DIALYSIS,5,1.0,1,DAVITA,0,16,1,0,0,26.0,0.0,99.0,2.0,3.0,17.0,29.0,24.0,27.0,27.0,20.8,216.7,0.94,4.6,67.9,6.0,0.37,5.4
92,15,CO,PUEBLO SOUTH DIALYSIS (FMC),5,1.0,1,FRESENIUS MEDICAL CARE,1,20,1,0,0,22.0,0.0,97.0,0.0,9.0,25.0,26.0,24.0,15.0,16.0,25.0,135.5,0.58,15.8,74.4,14.0,1.22,20.5
93,2,NY,EAST END DIALYSIS MANAGEMENT LLC,3,1.0,0,INDEPENDENT,0,24,1,0,1,19.0,4.0,94.0,0.0,7.0,26.0,33.0,24.0,11.0,19.7,33.0,225.1,0.12,38.7,66.1,12.0,1.32,16.2
94,9,OH,DAVITA SOUTHLAND AT HOME,2,1.0,1,DAVITA,0,28,1,1,1,24.0,0.0,96.0,3.0,9.0,28.0,33.0,16.0,14.0,21.8,29.1,239.2,2.13,34.9,46.0,16.0,0.21,7.2
95,9,KY,DAVITA COLD SPRING DIALYSIS,5,1.0,1,DAVITA,0,12,1,0,0,8.0,0.0,99.0,0.0,8.0,22.0,32.0,20.0,18.0,20.2,10.6,161.5,0.0,7.5,61.2,15.0,0.82,30.7
96,8,AL,RAI-SNOW ST-OXFORD,2,1.0,1,FRESENIUS MEDICAL CARE,0,25,1,1,1,25.0,0.0,98.0,3.0,6.0,15.0,27.0,31.0,21.0,33.8,26.5,247.5,1.36,57.9,58.9,19.0,0.58,18.9
97,9,KY,DAVITA SPRINGHURST DIALYSIS,4,1.0,1,DAVITA,0,18,1,0,0,18.0,0.0,99.0,3.0,7.0,16.0,40.0,26.0,11.0,39.0,16.7,188.5,0.0,16.7,56.3,7.0,0.82,18.4
